q,n,degree_exact,v_over_cutoff,log10_degree,log10_mu_over_v
5,32,29103830456733703613281,0.9,22.463950151760658167519134954081550847652482521155769962505292115,-1331718247403481666964.2749893224387465511828055514128902758092886
5,32,29103830456733703613281,0.99,22.463950151760658167519134954081550847652482521155769962505292115,-127032556409542584412.85422994474690747854939616834602256518726265
5,64,677626357803440271254658000543713569641113281,0.1,44.830990290513259920679494053458967206531277941878501348995488689,-677626357803440271254658000543713569641113234.40757033684657129797
5,64,677626357803440271254658000543713569641113281,0.5,44.830990290513259920679494053458967206531277941878501348995488689,-203985859551368994801249296802267225623771483.48003391752803695001
5,64,677626357803440271254658000543713569641113281,0.9,44.830990290513259920679494053458967206531277941878501348995488689,-31006481670855583320059891166179466353082677.467438711544610762012
5,64,677626357803440271254658000543713569641113281,0.99,44.830990290513259920679494053458967206531277941878501348995488689,-2957707187383030178842354572408442551221315.0446616390490641845429
5,127,73468396926392969248046033576390354863666597298255470094296981642401078715920448303222656,0.1,88.866100563682444622213943685815906520135315409925889629644430053,-7.3468396926392969248046033576390354863666597298255470094296981642e+88
5,127,73468396926392969248046033576390354863666597298255470094296981642401078715920448303222656,0.5,88.866100563682444622213943685815906520135315409925889629644430053,-2.2116191208191724902398235964414051349182164634655575982736667363e+88
5,127,73468396926392969248046033576390354863666597298255470094296981642401078715920448303222656,0.9,88.866100563682444622213943685815906520135315409925889629644430053,-3.3617294788673596868107104581571292889954733886938654531570496121e+87
5,127,73468396926392969248046033576390354863666597298255470094296981642401078715920448303222656,0.99,88.866100563682444622213943685815906520135315409925889629644430053,-3.2067525581366722698126024838823019168810957493094400991171759008e+86
5,128,367341984631964846240230167881951774318332986491277350471484908212005393579602241516113281,0.1,89.565070568018463427000204791091413493367125528463781088334002592,-3.6734198463196484624023016788195177431833298649127735047148490821e+89
5,128,367341984631964846240230167881951774318332986491277350471484908212005393579602241516113281,0.5,89.565070568018463427000204791091413493367125528463781088334002592,-1.1058095604095862451199117982207025674591082317327787991368333681e+89
5,128,367341984631964846240230167881951774318332986491277350471484908212005393579602241516113281,0.9,89.565070568018463427000204791091413493367125528463781088334002592,-1.6808647394336798434053552290785646444977366943469327265785248061e+88
5,128,367341984631964846240230167881951774318332986491277350471484908212005393579602241516113281,0.99,89.565070568018463427000204791091413493367125528463781088334002592,-1.6033762790683361349063012419411509584405478746547200495585879504e+87
5,160,8552847072295026067649716694884742012208630016336155833478199974913275651158817147745594411389902234077453613281,0.1,111.93211070677106518016056015990763663678504932167630776640032384,-8.5528470722950260676497166948847420122086300163361558334781999749e+111
5,160,8552847072295026067649716694884742012208630016336155833478199974913275651158817147745594411389902234077453613281,0.5,111.93211070677106518016056015990763663678504932167630776640032384,-2.5746635170876659572122427593467351222855696262157959843446346189e+111
5,160,8552847072295026067649716694884742012208630016336155833478199974913275651158817147745594411389902234077453613281,0.9,111.93211070677106518016056015990763663678504932167630776640032384,-3.9135681917743753721130900762010473862703346981362736005767360471e+110
5,160,8552847072295026067649716694884742012208630016336155833478199974913275651158817147745594411389902234077453613281,0.99,111.93211070677106518016056015990763663678504932167630776640032384,-3.7331513107482719582186575092867737599661291452467442712713683731e+109
