eta,s,p_over_M,local_cross,local_tau,ratio_to_abstract_static
0.5,0.000050118723362727228500155418688494576806047198983281926392969745589,0.0070794578438413791080221494218931270935443296555129868132715923463,1.6986200721397527980881069886164266479320109134097480169786637882e-65,1.5287580649257775182792962897547839831388098220687732152807974094e-64,0.00020027044177979313028700986578507516747765611270927477627408337735
0.5,0.00006309573444801947022673358518259070070334379634375296687865737997,0.0079432823472428241657009439303984960833616712990798046162269490463,2.1378711013396148329246746976435670590065194359045610174000901951e-65,1.9240839912056533496322072278792103531058674923141049156600811756e-64,0.00025205894888207326460599165532005361869473105275313120414255297015
0.5,0.000079432823472428150206591828283638793258896063175548433209232392932,0.0089125093813374552995310868107829696398587478293004836994794349507,2.6905252759159844543883217443136210702206265235275312392896193914e-65,2.4214727483243860089494895698822589631985638711747781153606574523e-64,0.00031721789614120486153244050325798089247604003436178937176602290298
0.5,0.0001,0.01,3.3857527541894061209629290354540302628437489786497973825801719808e-65,3.0471774787704655088666361319086272365593740807848176443221547827e-64,0.0003991864990647986819134126413509315540851665112346792174931063939
0.5,0.00012589254117941660509107995509404292328392847989661378555092847467,0.01122018454301962918882445558493649711586120816378373755714973271,4.2601641022341626264695257078116869488748568731701758993242780283e-65,3.8341476920107463638225731370305182539873711858531583093918502255e-64,0.0005022812109679676095493829384395151270733040937463039607719397441
0.5,0.00015848931924611171345535403220986468263676132589204546144599865815,0.012589254117941686598153973007165166288704887379154346553437656274,5.3596712881537424179201885180961259312476796367837675761467713436e-65,4.8237041593383681761281696662865133381229116731053908185320942092e-64,0.00063191513763338539678907248213625289088001531992249423262159876627
0.5,0.00019952623149688828173353395388348820209127040532019356685356246796,0.014125375446227554405263706038986840928058392851045762100909456608,6.7417924897475455793625795749942449460860816593051215311934150972e-65,6.0676132407727910214263216174948204514774734933746093780740735875e-64,0.00079486977838935316992218559144689240284143933121190504029062869298
0.5,0.00025118864315095824246179330629876267952529101137083746860521269735,0.01584893192461114215072389163132262740511282785938097340855231602,8.4784936500317054018227971570496160369624921845089461770499915972e-65,7.6306442850285348616405174413446544332662429660580515593449924375e-64,0.00099963005075058321319338729202221824547939391666929565757732820521
0.5,0.00031622776601683793319988935444327185337195551393252168268575048528,0.017782794100389228012254211951926848447357905264022553580118307228,1.0659671191535843420894603384201261211984792366826977495169915147e-64,9.5937040723822590788051430457811350907863131301442797456529236319e-64,0.0012567949088621016779973269739215740631297236257383189247782594832
0.5,0.00039810717055349688409999777287957180062536902581311563465639202898,0.019952623149688786825002027847132457924106536223864425825922772215,1.3397387652047571379541728921228721210156481032576840398748443488e-64,1.2057648886842814241587556029105849089140832929319156358873599139e-63,0.0015795767327715660361152338120911125486524326604045231509643450088
0.5,0.00050118723362727343902780713596752893134458870828431384758932759077,0.022387211385683421893779113715252756147473636921293385432905696483,1.6830970273502631699652818389077636886846432139820645948263411259e-64,1.5147873246152368529687536550169873198161788925838581353437070133e-63,0.001984402461470272714385350622697681955475175770719634036956106019
0.5,0.00063095734448019426641744313726448681081227849065712869133643822457,0.025118864315095821354263204385889728396642677385493493030104962592,2.1133063498632522906414773788358534917013651754715668896228453306e-64,1.9019757148769270615773296409522681425312286579244102006605607975e-63,0.0024916271934194735722458268247134379534080496621664011305669821912
0.5,0.00079432823472428223366925917099907304423939014402901521395891304429,0.02818382931264455117015228474834101998257826791877835939974012366,2.6516676543703456350396001454396775144378561730543899473937643414e-64,2.3865008889333110715356401308957097629940705557489509526543879072e-63,0.0031263651083845492858387328025150302787654671399384172256103945706
0.5,0.001,0.031622776601683793319988935444327185337195551393252168268575048528,3.324316567988566687150348277043006968028811912259923546104315682e-64,2.9918849111897100184353134493387062712259307210339311914938841138e-63,0.0039194305931419655141100399294720701484913550031443674534802466311
0.5,0.0012589254117941660509107995509404292328392847989661378555092847467,0.035481338923357529503561453347955331521482127716802116676522481289,4.1630905313734674792656398299575575879196914670152180735486008217e-64,3.7467814782361207313390758469618018291277223203136962661937407395e-63,0.0049083605778728979509039145482699751871149353203966565659629104697
