T_K,nH_cm3,Lvol_erg_cm3_s,Lambda_per_nH_squared_erg_cm3_s,tcool_s,mu,tau_chem_s,L_excitation_HI_erg_cm3_s,L_excitation_HeII_erg_cm3_s,L_ionization_HI_erg_cm3_s,L_ionization_HeI_erg_cm3_s,L_ionization_HeII_erg_cm3_s,L_recombination_HII_erg_cm3_s,L_recombination_HeII_erg_cm3_s,L_recombination_HeIII_erg_cm3_s,L_dielectronic_HeII_erg_cm3_s,L_freefree_erg_cm3_s
841395.1416451947,1e-06,5.692424163360765e-36,5.692424163360765e-24,6.847170999022855e+19,0.588237249164533,1370213156342519.5,2.141144157767548e-37,2.63124824629292e-37,3.1733657201349913e-37,5.226684592427274e-40,4.0224668351262784e-37,1.2738322436855824e-36,1.6431215247467026e-41,4.022310340032378e-37,8.531690252970118e-40,2.8181461210399836e-36
891250.9381337459,1e-06,5.676424567276912e-36,5.676424567276913e-24,7.273336808300263e+19,0.5882370560305235,1304277252541949.8,1.955226973285477e-37,2.3300892649064043e-37,2.990272584811301e-37,4.443953223020073e-40,3.79041423659675e-37,1.2714605533374766e-36,1.5051399455820144e-41,4.014854195080738e-37,7.252218611616816e-40,2.895693619888449e-36
944060.8762859226,1e-06,5.6688576239124485e-36,5.668857623912449e-24,7.714595269258596e+19,0.5882368850828746,1244629312289450.5,1.7849915283244902e-37,2.063772576120353e-37,2.816601485720525e-37,3.779623924492076e-40,3.570297643426947e-37,1.2685789938285109e-36,1.381641105377805e-41,4.005783991168757e-37,6.1663638259354636e-40,2.975125492421734e-36
1000000.0,1e-06,5.669129465424321e-36,5.669129465424321e-24,8.171324041738517e+19,0.5882367333357001,1190530211016956.2,1.6291424914398575e-37,1.82816438086781e-37,2.651940590874487e-37,3.2155059527905725e-40,3.361596379941568e-37,1.2651904421874488e-36,1.270768949109034e-41,3.995109348513527e-37,5.244396484661554e-40,3.056485006139911e-36
1059253.7251772897,1e-06,5.6767148151601454e-36,5.6767148151601455e-24,8.643941741156947e+19,0.5882365982646524,1141343202745065.2,1.4864916770545739e-37,1.619642978278636e-37,2.495892474264681e-37,2.736266042799234e-40,3.1638077750018285e-37,1.261298801970776e-36,1.1709438380751836e-41,3.982843046432691e-37,4.461250007891638e-40,3.139816757042679e-36
1122018.4543019652,1e-06,5.69114915347815e-36,5.69114915347815e-24,9.132906873175232e+19,0.5882364777271748,1096517794867789.6,1.3559487927444047e-37,1.4350313513928933e-37,2.348073684281394e-37,2.3289661123389243e-40,2.9764466658493152e-37,1.2569089912489638e-36,1.0808164315355057e-41,3.969000999601357e-37,3.795768233042043e-40,3.2251667312433963e-36
1188502.2274370189,1e-06,5.7120219442905635e-36,5.712021944290564e-24,9.638716558473835e+19,0.5882363698978365,1055576440047399.5,1.236513063464716e-37,1.2715392901293417e-37,2.2081143342304877e-37,1.9826785345357633e-40,2.7990449192191287e-37,1.2520269255118638e-36,9.992300123739036e-42,3.95360221559972e-37,3.2300787664308497e-40,3.31258236848414e-36
1258925.411794166,1e-06,5.738970764344846e-36,5.738970764344846e-24,1.0161905118817155e+20,0.5882362732156702,1018103508579581.0,1.127265639232687e-37,1.1267135992936997e-37,2.075657713218721e-37,1.6881654048781195e-40,2.631150969932668e-37,1.2466594956308198e-36,9.251895825094927e-42,3.936668734724849e-37,2.749070208304107e-40,3.4021126276166204e-36
1333521.432163324,1e-06,5.77167620264609e-36,5.77167620264609e-24,1.0703042585091046e+20,0.5882361863411073,983736114691782.0,1.0273627037900367e-37,9.983951759931643e-38,1.9503599156939845e-37,1.4376107149742018e-40,2.4723293766333574e-37,1.2408145410571635e-36,8.57836409571576e-42,3.918225553056561e-37,2.339955340185232e-40,3.4938080541026046e-36
1412537.5446227554,1e-06,5.809857418480775e-36,5.8098574184807745e-24,1.1262733177785124e+20,0.5882361081206189,952156456236904.4,9.360292113929012e-38,8.846819365117832e-38,1.8318894879595628e-37,1.2243963538047353e-40,2.3221603939438975e-37,1.2345008184771609e-36,7.964269818005146e-42,3.898300529805062e-37,1.9919055876070787e-40,3.587720849578334e-36
1496235.6560944358,1e-06,5.85326826400912e-36,5.85326826400912e-24,1.1841613800855377e+20,0.5882360375575684,923085394728828.5,8.525531872927169e-38,7.838967349409522e-38,1.7199270900296323e-37,1.042914484944184e-40,2.180239560062261e-37,1.227727966181578e-36,7.403155423793968e-42,3.8769242800188055e-37,1.6957446888609162e-40,3.683904943520301e-36
1584893.1924611141,1e-06,5.9016938919830614e-36,5.9016938919830615e-24,1.2440352581280498e+20,0.5882359737880963,896277055860368.9,7.762805348442499e-38,6.945595506767832e-38,1.61416517125447e-37,8.884101704861052e-41,2.0461772986464097e-37,1.2205064644430159e-36,6.889395418092336e-42,3.854130053787435e-37,1.443691630553494e-40,3.7824160670435886e-36
