epsilon,a,N,E,dlnE,Ht,t_Gyr,chi,q,Omega_chi,w_chi,Omega_m,Omega_r,D_regular_norm_PM,f_regular,D_matched,f_matched
0.0001,0.09396928136581775,-2.3647873441015843,19.532450848408924,-1.4988536962936965,0.6652110685045238,0.4940710512736594,136.5708950131879,1.4997433634628121,7.492717672016061e-05,0.0006294354544701103,0.9950372903151808,0.0030926496565563837,4.660978962376774,0.9969096284540986,4.660992938343131,0.9969097906355097
0.0001,0.09405907277098638,-2.3638322603600246,19.504509633340607,-1.4988444960878786,0.6652138830226649,0.494780926929618,136.572327391439,1.49973864627686,7.492687711535293e-05,0.0006271419682910962,0.9950351028119419,0.0030896905348045778,4.665418941957193,0.9969087921554011,4.66543293195865,0.9969089539508094
0.0001,0.09414894997543242,-2.362877176618465,19.476608559576313,-1.4988352751824112,0.6652166993622437,0.4954918195159055,136.57375976517997,1.4997339190038692,7.492657668614412e-05,0.0006248460330545037,0.9950328978072075,0.003086734190104748,4.669863147244369,0.9969079459452724,4.669877151293254,0.9969081073555954
0.0001,0.0942389130611405,-2.3619220928769056,19.448747569588743,-1.4988260335130072,0.6652195175338662,0.4962037304830527,136.5751921344012,1.4997291816103033,7.49262754301042e-05,0.0006225476364829125,0.9950306752616902,0.0030837806197815546,4.674311582212209,0.9969070898025288,4.674325600320857,0.9969072508286821
0.0001,0.09432896211017369,-2.360967009135346,19.420926605933474,-1.4988167710152016,0.6652223375481646,0.49691666128363654,136.57662449909293,1.4997244340625395,7.492597334479646e-05,0.0006202467662737031,0.9950284351359808,0.0030808298211620305,4.678764250838167,0.9969062237059199,4.678778283018933,0.9969063843488165
0.0001,0.09441909720467327,-2.3600119253937866,19.39314561124885,-1.4988074876243525,0.6652251594157972,0.4976306133722827,136.57805685924552,1.4997196763268674,7.492567042777789e-05,0.0006179434100920352,0.9950261773905488,0.00307788179157561,4.6832211571032545,0.9969053476341279,4.683235203368502,0.9969055078946788
0.0001,0.09450931842685922,-2.359056841652227,19.365404528255876,-1.4987981832756399,0.6652279831474481,0.4983455882056683,136.5794892148492,1.4997149083694892,7.492536667659845e-05,0.0006156375555800372,0.9950239019857414,0.0030749365283540882,4.687682304992042,0.996904461565768,4.687696365354154,0.9969046214448821
0.0001,0.09459962585902995,-2.358101757910667,19.3377032997581,-1.4987888579040656,0.6652308087538277,0.4990615872425241,136.5809215658942,1.4997101301565192,7.492506208880192e-05,0.0006133291903459287,0.9950216088817849,0.0030719940288316512,4.692147698492668,0.9969035654793879,4.692161772964029,0.9969037249779721
0.0001,0.09469001958356255,-2.3571466741691074,19.31004186864147,-1.4987795114444533,0.6652336362456727,0.4997786119436385,136.58235391237065,1.4997053416539836,7.492475666192527e-05,0.0006110183019706412,0.9950192980387829,0.0030690542903448604,4.696617341596817,0.9969026593534679,4.69663143018984,0.9969028184724266
0.0001,0.09478049968291281,-2.3561915904275477,19.282420177874236,-1.498770143831446,0.6652364656337457,0.5004966637718592,136.58378625426877,1.4997005428278203,7.492445039349957e-05,0.0006087048779964457,0.9950169694167152,0.0030661173102326453,4.70109123829976,0.9969017431664204,4.70110534102686,0.9969019019066562
