n,Lambda_eV,mG_eV,muH_eV,muL_eV,cUV_hat,heavy_threshold_hat,cL_hat,ell,potential_hat,derivative_hat,normalized_error
128,1000000000000.0,1e-12,1000000000000.0,2530.5262298581297,-2.2500000000000004,-0.002896338125087436,-4.258532811017449,2.407945608651872,-4.212535749141714,-4.18720545323113,2.220446049250313e-16
128,1000000000000.0,1e-12,1000000000000.0,8435.087432860433,-2.2500000000000004,-0.002896338125087436,-4.136544861409961,-2.220446049250313e-16,-4.212535749141714,-4.18720545323113,2.220446049250313e-16
128,1000000000000.0,1e-12,1000000000000.0,25305.2622985813,-2.2500000000000004,-0.002896338125087436,-4.025232163958091,-2.1972245773362196,-4.212535749141715,-4.18720545323113,0.0
128,1000000000000.0,1e-12,1000000000000.0,84350.87432860433,-2.2500000000000004,-0.002896338125087436,-3.903244214350602,-4.605170185988092,-4.212535749141715,-4.1872054532311305,2.220446049250313e-16
128,1000000000000.0,1e-12,1000000000000.0,500000000000.0,-2.2500000000000004,-0.002896338125087436,-2.3231268308977704,-35.79543714991583,-4.212535749141715,-4.18720545323113,0.0
128,1000000000000.0,1e-12,1000000000000.0,1000000000000.0,-2.2500000000000004,-0.002896338125087436,-2.2528963381250877,-37.181731511035714,-4.212535749141715,-4.18720545323113,0.0
128,1000000000000.0,1e-12,1250000000000.0,843.5087432860433,-2.1934770781467243,-0.036810091237053144,-4.36984550846932,4.605170185988091,-4.212535749141714,-4.18720545323113,2.220446049250313e-16
128,1000000000000.0,1e-12,1250000000000.0,2530.5262298581297,-2.1934770781467243,-0.036810091237053144,-4.258532811017449,2.407945608651872,-4.212535749141714,-4.18720545323113,2.220446049250313e-16
128,1000000000000.0,1e-12,1250000000000.0,8435.087432860433,-2.1934770781467243,-0.036810091237053144,-4.136544861409961,-2.220446049250313e-16,-4.212535749141714,-4.18720545323113,2.220446049250313e-16
128,1000000000000.0,1e-12,1250000000000.0,25305.2622985813,-2.1934770781467243,-0.036810091237053144,-4.025232163958091,-2.1972245773362196,-4.212535749141715,-4.18720545323113,0.0
128,1000000000000.0,1e-12,1250000000000.0,84350.87432860433,-2.1934770781467243,-0.036810091237053144,-3.903244214350602,-4.605170185988092,-4.212535749141715,-4.1872054532311305,2.220446049250313e-16
128,1000000000000.0,1e-12,1250000000000.0,500000000000.0,-2.1934770781467243,-0.036810091237053144,-2.323126830897771,-35.79543714991583,-4.212535749141715,-4.1872054532311305,2.220446049250313e-16
128,1000000000000.0,1e-12,1250000000000.0,1000000000000.0,-2.1934770781467243,-0.036810091237053144,-2.2528963381250877,-37.181731511035714,-4.212535749141715,-4.18720545323113,0.0
128,1000000000000.0,1e-12,2000000000000.0,843.5087432860433,-2.0744237680682933,-0.10824207728411175,-4.36984550846932,4.605170185988091,-4.212535749141714,-4.18720545323113,2.220446049250313e-16
128,1000000000000.0,1e-12,2000000000000.0,2530.5262298581297,-2.0744237680682933,-0.10824207728411175,-4.25853281101745,2.407945608651872,-4.212535749141715,-4.1872054532311305,2.220446049250313e-16
