phase,chi,U_eV4,tree_ratio,loop_ratio,total_ratio,scalar_log_parameter
zero,137.83616972528793,4.181337069373048e-14,1.2637447082195116e-06,1.5600610408379704e-06,2.8238057490574817e-06,3.6340372776770016e-23
zero,137.83855842003797,4.161408833935485e-14,1.2667670168186936e-06,1.5637920047488828e-06,2.8305590215675764e-06,3.6340372776770016e-23
zero,137.84094698355324,4.1415766634244124e-14,1.2697963867784194e-06,1.5675316857316909e-06,2.8373280725101105e-06,3.6340372776770016e-23
zero,137.84333541523267,4.121840094588966e-14,1.2728328334242366e-06,1.571280102705398e-06,2.8441129361296345e-06,3.6340372776770016e-23
zero,137.84572371447246,4.102198666412833e-14,1.2758763721065466e-06,1.575037274619688e-06,2.8509136467262344e-06,3.6340372776770016e-23
zero,137.84811188066604,4.0826519201031366e-14,1.278927018200633e-06,1.578803220454962e-06,2.857730238655595e-06,3.6340372776770016e-23
zero,137.85049991320417,4.063199399079393e-14,1.2819847871066897e-06,1.5825779592223716e-06,2.8645627463290615e-06,3.6340372776770016e-23
zero,137.85288781147477,4.043840648963894e-14,1.2850496942496314e-06,1.586361509963586e-06,2.8714112042132174e-06,3.6340372776770016e-23
zero,137.85527557486304,4.02457521756983e-14,1.288121755079266e-06,1.5901538917510037e-06,2.8782756468302697e-06,3.6340372776770016e-23
zero,137.85766320275144,4.0054026548910955e-14,1.2912009850702128e-06,1.5939551236876532e-06,2.885156108757866e-06,3.6340372776770016e-23
zero,137.8600506945196,3.98632251309213e-14,1.294287399721819e-06,1.5977652249070887e-06,2.892052624628908e-06,3.6340372776770016e-23
zero,137.86243804954432,3.967334346497576e-14,1.297381014558114e-06,1.6015842145733337e-06,2.8989652291314477e-06,3.6340372776770016e-23
zero,137.86482526719965,3.9484377115810833e-14,1.3004818451279062e-06,1.605412111881001e-06,2.905893957008907e-06,3.6340372776770016e-23
zero,137.86721234685677,3.9296321669555324e-14,1.3035899070046619e-06,1.6092489360551427e-06,2.9128388430598046e-06,3.6340372776770016e-23
zero,137.86959928788409,3.9109172733623894e-14,1.3067052157865327e-06,1.6130947063512844e-06,2.919799922137817e-06,3.6340372776770016e-23
zero,137.87198608964712,3.8922925936615755e-14,1.3098277870963015e-06,1.616949442055359e-06,2.9267772291516608e-06,3.6340372776770016e-23
zero,137.8743727515085,3.873757692821812e-14,1.3129576365812628e-06,1.620813162483557e-06,2.93377079906482e-06,3.6340372776770016e-23
zero,137.87675927282808,3.8553121379090324e-14,1.3160947799134283e-06,1.624685886982583e-06,2.940780666896011e-06,3.6340372776770016e-23
zero,137.8791456529627,3.836955498078149e-14,1.3192392327891791e-06,1.628567634929224e-06,2.9478068677184034e-06,3.6340372776770016e-23
zero,137.88153189126646,3.818687344560917e-14,1.3223910109295876e-06,1.6324584257307488e-06,2.954849436660336e-06,3.6340372776770016e-23
zero,137.88391798709046,3.8005072506575623e-14,1.3255501300801016e-06,1.6363582788245162e-06,2.961908408904618e-06,3.6340372776770016e-23
zero,137.8863039397829,3.782414791726067e-14,1.328716606010642e-06,1.6402672136780968e-06,2.968983819688739e-06,3.6340372776770016e-23
zero,137.88868974868902,3.7644095451725697e-14,1.3318904545155108e-06,1.644185249789159e-06,2.97607570430467e-06,3.6340372776770016e-23
zero,137.89107541315119,3.746491090440971e-14,1.335071691413449e-06,1.64811240668554e-06,2.9831840980989887e-06,3.6340372776770016e-23
zero,137.89346093250882,3.728659009003227e-14,1.338260332547582e-06,1.6520487039251804e-06,2.9903090364727627e-06,3.6340372776770016e-23
zero,137.89584630609826,3.710912884350536e-14,1.3414563937852123e-06,1.6559941610958649e-06,2.997450554881077e-06,3.6340372776770016e-23
